,country,tweets,likes,retweets,sentiment,lat,lon,radius
0,Belarus,1,0,0,-0.1531,53.4250605,27.6971358,10000.0
1,Bosnia,16,0,0,1.7964999999999998,44.3053476,17.5961467,10000.0
2,Bulgaria,3,0,1,1.2777,42.6073975,25.4856617,11000.0
3,Croatia,2,0,1,0.3818,45.5643442,17.0118954,11000.0
4,Czech Republic,7,4,2,1.2603,49.8167003,15.4749544,11414.213562373096
5,Denmark,4,0,31,0.04620000000000002,55.670249,10.3333283,15567.764362830021
6,Finland,7,155,62,0.03139999999999987,63.2467777,25.9209164,17874.00787401181
7,France,5,214,135,0.8754,46.603354,1.8883335,21618.95003862225
8,Germany,58,28,183,25.814399999999978,51.0834196,10.4234469,23527.749258468684
9,Greece,26,3,104,2.4524,38.9953683,21.9877132,20198.03902718557
10,Ireland,1,0,0,0.296,52.865196,-7.9794599,10000.0
11,Italy,2,4,3,1.1230000000000002,42.6384261,12.674297,11732.050807568878
12,Netherlands,10,7,970,0.6013,52.5001698,5.7480821,41144.823004794875
13,Poland,11,5,4,0.16480000000000006,52.215933,19.134422,12000.0
14,Romania,6,2,0,0.5205,45.9852129,24.6859225,10000.0
15,Russia,1,0,0,-0.4522,64.6863136,97.7453061,10000.0
16,Serbia,4,3,0,0.9447,44.1534121,20.55144,10000.0
17,Slovakia,5,1,0,3.2882000000000002,48.7411522,19.4528646,10000.0
18,Spain,10,12,414,1.2372,39.3260685,-4.8379791,30346.989949375802
19,Sweden,1,0,2,0.0,59.6749712,14.5208584,11414.213562373096
20,Switzerland,1,0,6,0.0,46.7985624,8.2319736,12449.489742783178
21,UK,1,0,130,0.0,54.7023545,-3.2765753,21401.754250991376
