A;lat;lon;B
AD;42.546.245;1.601.554;Andorra
AL;41.153.332;20.168.331;Albania
AT;47.516.231;14.550.072;Austria
BA;43.915.886;17.679.076;Bosnia and Herzegovina
BE;50.503.887;4.469.936;Belgium
BY;53.709.807;27.953.389;Belarus
CH;46.818.188;8.227.512;Switzerland
DE;51.165.691;10.451.526;Germany
DK;5.626.392;9.501.785;Denmark
EE;58.595.272;25.013.607;Estonia
FI;6.192.411;25.748.151;Finland
FR;46.227.638;2.213.749;France
GB;55.378.051;-3.435.973;United Kingdom
GL;71.706.936;-42.604.303;Greenland
GR;39.074.208;21.824.312;Greece
HT;18.971.187;-72.285.215;Haiti
IE;53.342.686;-6.267.118;Ireland
IM;54.236.107;-4.548.056;Isle of Man
IS;64.963.051;-19.020.835;Iceland
IT;4.187.194;1.256.738;Italy
LI;47.167.500;9.510.530;Liechtenstein
LT;55.169.438;23.881.275;Lithuania
LU;49.815.273;6.129.583;Luxembourg
LV;56.879.635;24.603.189;Latvia
MC;43.750.298;7.412.841;Monaco
MD;47.411.631;28.369.885;Moldova
ME;42.708.678;1.937.439;Montenegro
MK;41.608.635;21.745.275;Macedonia [FYROM]
MT;35.937.496;14.375.416;Malta
NL;52.132.633;5.291.266;Netherlands
NO;60.472.024;8.468.946;Norway
PL;51.919.438;19.145.136;Poland
PT;39.399.872;-8.224.454;Portugal
RO;45.943.161;2.496.676;Romania
RS;44.016.521;21.005.859;Serbia
SE;60.128.161;18.643.501;Sweden
SI;46.151.241;14.995.463;Slovenia
SK;48.669.026;19.699.024;Slovakia
UA;48.379.433;3.116.558;Ukraine
