,country,tweets,likes,retweets,sentiment,lat,lon,radius,sent_ref,r,g,s,b
0,Austria,11,5,88,1.2379,47.2,13.2,19380.83151964686,0.1125,0,100,83.75,0.0
1,Belarus,1,0,0,0.2732,53.4250605,27.6971358,10000.0,0.2732,0,100,131.95999999999998,0.0
2,Belgium,10,0,18,0.9317999999999999,50.6402809,4.6667145,14242.640687119285,0.0932,0,100,77.96000000000001,0.0
3,Bosnia,16,0,0,1.7878,44.3053476,17.5961467,10000.0,0.1117,0,100,83.50999999999999,0.0
4,Bulgaria,18,36,9,4.055999999999999,42.6073975,25.4856617,13000.0,0.2253,0,100,117.59,0.0
5,Croatia,7,3,8,-2.0499,45.5643442,17.0118954,12828.427124746191,-0.2928,100,0,137.84,-0.0
6,Czech Republic,71,273,200,10.029000000000002,49.8167003,15.4749544,24142.135623730952,0.1413,0,100,92.39,0.0
7,Denmark,87,1423,286,6.409600000000002,55.670249,10.3333283,26911.534525287763,0.0737,0,100,72.11,0.0
8,Estonia,1,0,1,0.4939,58.7523778,25.3319078,11000.0,0.4939,0,100,198.17000000000002,0.0
9,Finland,158,492,1481,22.500699999999995,63.2467777,25.9209164,48483.76280978771,0.1424,0,100,92.72,0.0
10,France,170,10468,17787,27.87560000000001,46.603354,1.8883335,143367.91218280356,0.164,0,100,99.2,0.0
11,Germany,150,853,7626,23.787299999999977,51.0834196,10.4234469,97326.9717784832,0.1586,0,100,97.58,0.0
12,Greece,151,6275,3394,20.455500000000004,38.9953683,21.9877132,68258.04665451802,0.1355,0,100,90.65,0.0
13,Hungary,11,110,20,-0.21650000000000025,47.1817585,19.5060937,14472.13595499958,-0.0197,100,0,55.91,-0.0
14,Ireland,4,0,0,1.3322,52.865196,-7.9794599,10000.0,0.333,0,100,149.9,0.0
15,Italy,66,25,1849,6.0063,42.6384261,12.674297,53000.0,0.091,0,100,77.3,0.0
16,Latvia,2,1,3,0.4068,56.8406494,24.7537645,11732.050807568878,0.2034,0,100,111.02,0.0
17,Lithuania,3,1,2,0.4019,55.3500003,23.7499997,11414.213562373096,0.134,0,100,90.2,0.0
18,Netherlands,89,440,7238,-5.701199999999999,52.5001698,5.7480821,95076.43622061281,-0.0641,100,0,69.23,-0.0
19,Norway,1,0,0,0.3612,60.5000209,9.0999715,10000.0,0.3612,0,100,158.36,0.0
20,Poland,64,516,302,10.7843,52.215933,19.134422,27378.147196982765,0.1685,0,100,100.55000000000001,0.0
21,Portugal,4,0,196,-0.0772,40.0332629,-7.8896263,24000.0,-0.0193,100,0,55.79,-0.0
22,Romania,39,17,19,4.790500000000001,45.9852129,24.6859225,14358.898943540673,0.1228,0,100,86.84,0.0
23,Russia,21,1122,212,0.8432,64.6863136,97.7453061,24560.219778561037,0.0402,0,100,62.06,0.0
24,Serbia,106,203,983,3.8201999999999994,44.1534121,20.55144,41352.83081318176,0.036,0,100,60.8,0.0
25,Slovakia,13,23,10,5.205300000000001,48.7411522,19.4528646,13162.27766016838,0.4004,0,100,170.12,0.0
26,Spain,141,41,20826,18.044,39.3260685,-4.8379791,154312.16164966833,0.128,0,100,88.4,0.0
27,Sweden,34,17,824,-0.6215999999999999,59.6749712,14.5208584,38705.400188814645,-0.0183,100,0,55.49,-0.0
28,UK,29,33144,4676,3.4314999999999998,54.7023545,-3.2765753,78381.28398911504,0.1183,0,100,85.49000000000001,0.0
29,Ukraine,1,0,0,0.0,49.4871968,31.2718321,10000.0,0.0,0,0,50.0,0.0
