,latitude,longitude
0,42546245,1601554
1,23424076,53847818
2,3393911,67709953
3,17060816,-61796428
4,18220554,-63068615
5,41153332,20168331
6,40069099,45038189
7,12226079,-69060087
8,-11202692,17873887
9,-75250973,0
10,-38416097,-63616672
11,-14270972,-170132217
12,47516231,14550072
13,-25274398,133775136
14,1252111,-69968338
15,40143105,47576927
16,43915886,17679076
17,13193887,-59543198
18,23684994,90356331
19,50503887,4469936
20,12238333,-1561593
21,42733883,2548583
22,25930414,50637772
23,-3373056,29918886
24,930769,2315834
25,32321384,-6475737
26,4535277,114727669
27,-16290154,-63588653
28,-14235004,-5192528
29,2503428,-7739628
30,27514162,90433601
31,-54423199,3413194
32,-22328474,24684866
33,53709807,27953389
34,17189877,-8849765
35,56130366,-106346771
36,-12164165,96870956
37,-4038333,21758664
38,6611111,20939444
39,0,15827659
40,46818188,8227512
41,7539989,-554708
42,-21236736,-159777671
43,-35675147,-71542969
44,7369722,12354722
45,3586166,104195397
46,4570868,-74297333
47,9748917,-83753428
48,21521757,-77781167
49,16002082,-24013197
50,-10447525,105690449
51,35126413,33429859
52,49817492,15472962
53,51165691,10451526
54,11825138,42590275
55,5626392,9501785
56,15414999,-61370976
57,18735693,-70162651
58,28033886,1659626
59,-1831239,-78183406
60,58595272,25013607
61,26820553,30802498
62,24215527,-12885834
63,15179384,39782334
64,40463667,-374922
65,9145,40489673
66,6192411,25748151
67,-16578193,179414413
68,-51796253,-59523613
69,7425554,150550812
70,61892635,-6911806
71,46227638,2213749
72,0,11609444
73,55378051,-3435973
74,12262776,-61604171
75,42315407,43356892
76,3933889,-53125782
77,49465691,-2585278
78,7946527,-1023194
79,36137741,-5345374
80,71706936,-42604303
81,13443182,-15310139
82,9945587,-9696645
83,16995971,-62067641
84,1650801,10267895
85,39074208,21824312
86,-54429579,-36587909
87,15783471,-90230759
88,13444304,144793731
89,11803749,-15180413
90,4860416,-5893018
91,31354676,34308825
92,22396428,114109497
93,-5308181,73504158
94,15199999,-86241905
95,45,44242
96,18971187,-72285215
97,47162494,19503304
98,0,113921327
99,5341291,-824389
100,31046051,34851612
101,54236107,-4548056
102,20593684,7896288
103,-6343194,71876519
104,33223191,43679291
105,32427908,53688046
106,64963051,-19020835
107,4187194,1256738
108,49214439,-213125
109,18109581,-77297508
110,30585164,36238414
111,36204824,138252924
112,0,37906193
113,4120438,74766098
114,12565679,104990963
115,-3370417,-168734039
116,-11875001,43872219
117,17357822,-62782998
118,40339852,127510093
119,35907757,127766922
120,2931166,47481766
121,19513469,-80566956
122,48019573,66923684
123,1985627,102495496
124,33854721,35862285
125,13909444,-60978893
126,47166,9555373
127,7873054,80771797
128,6428055,-9429499
129,-29609988,28233608
130,55169438,23881275
131,49815273,6129583
132,56879635,24603189
133,263351,17228331
134,31791702,-709262
135,43750298,7412841
136,47411631,28369885
137,42708678,1937439
138,-18766947,46869107
139,7131474,171184478
140,41608635,21745275
141,17570692,-3996166
142,21913965,95956223
143,46862496,103846656
144,22198745,113543873
145,1733083,14538469
146,14641528,-61024174
147,2100789,-10940835
148,16742498,-62187366
149,35937496,14375416
150,-20348404,57552152
151,3202778,7322068
152,-13254308,34301525
153,23634501,-102552784
154,4210484,101975766
155,-18665695,35529562
157,-20904305,165618042
158,17607789,8081666
159,-29040835,167954712
160,9081999,8675277
161,12865416,-85207229
162,52132633,5291266
163,60472024,8468946
164,28394857,84124008
165,0,166931503
166,-19054445,-169867233
167,-40900557,174885971
168,21512583,55923255
169,8537981,-80782127
170,-9189967,-75015152
171,-17679742,-149406843
172,-6314993,14395555
173,12879721,121774017
174,30375321,69345116
175,51919438,19145136
176,46941936,-5627111
177,-24703615,-127439308
178,18220833,-66590149
179,31952162,35233154
180,39399872,-8224454
181,751498,13458252
182,-23442503,-58443832
183,25354826,51183884
184,-21115141,55536384
185,45943161,2496676
186,44016521,21005859
187,6152401,105318756
188,-1940278,29873888
189,23885942,45079162
190,-964571,160156194
191,-4679574,55491977
192,12862807,30217636
193,60128161,18643501
194,1352083,103819836
195,-24143474,-10030696
196,46151241,14995463
197,77553604,23670272
198,48669026,19699024
199,8460555,-11779889
200,4394236,12457777
201,14497401,-14452362
202,5152149,46199616
203,3919305,-56027783
204,0,6613081
205,13794185,-8889653
206,34802075,38996815
207,-26522503,31465866
208,21694025,-71797928
209,15454166,18732207
210,-49280366,69348557
211,8619543,0
212,15870032,100992541
213,38861034,71276093
214,-8967363,-171855881
215,-8874217,125727539
216,38969719,59556278
217,33886917,9537499
218,-21178986,-175198242
219,38963745,35243322
220,10691803,-61222503
221,-7109535,17764933
222,2369781,120960515
223,-6369028,34888822
224,48379433,3116558
225,1373333,32290275
227,3709024,-95712891
228,-32522779,-55765835
229,41377491,64585262
230,41902916,12453389
231,12984305,-61287228
232,642375,-6658973
233,18420695,-64639968
234,18335765,-64896335
235,14058324,108277199
236,-15376706,166959158
237,-13768752,-177156097
238,-13759029,-172104629
239,42602636,20902977
240,15552727,48516388
241,-128275,45166244
242,-30559482,22937506
243,-13133897,27849332
