,country,city,tweets,likes,lat,lon
0, France,Paris,1,204,48.856697,2.3514616
1, Pais Nissart,Nissa,1,308,43.700935,7.268391
2, la Mayenne,Laval,1,84,48.071037,-0.7723499
3,NaN,NaN,1,0,46.314476,11.048029
4, Champagne-Ardenne,Marne,1,0,48.961266,4.3122435
5, Deutschland,Bonn,1,0,50.73585,7.10066
6,user_loc,NaN,1,416,46.314476,11.048029
7,user_loc,NaN,1,693,46.314476,11.048029
8,user_loc,NaN,1,220,46.314476,11.048029
9,NaN,NaN,1,0,46.314476,11.048029
10, Crete,Hania,1,0,35.512085,24.019154
11,NaN,NaN,1,10093,46.314476,11.048029
12,NaN,NaN,1,2856,46.314476,11.048029
13, Brasil,Paraíba,1,31967,-7.121937,-36.724686
14, España,Barcelona,1,0,41.382893,2.1774323
16, Spain,Barcelona,1,1844,41.382893,2.1774323
17,NaN,NaN,1,0,46.314476,11.048029
18,NaN,NaN,1,10093,46.314476,11.048029
19,NaN,NaN,1,2856,46.314476,11.048029
20, Brasil,Paraíba,1,31967,-7.121937,-36.724686
21, España,Barcelona,1,0,41.382893,2.1774323
23, France,Paris,1,204,48.856697,2.3514616
24, Pais Nissart,Nissa,1,308,43.700935,7.268391
25, la Mayenne,Laval,1,84,48.071037,-0.7723499
26,NaN,NaN,1,0,46.314476,11.048029
28, France,Paris,1,204,48.856697,2.3514616
29, Pais Nissart,Nissa,1,308,43.700935,7.268391
30, la Mayenne,Laval,1,84,48.071037,-0.7723499
31,NaN,NaN,1,0,46.314476,11.048029
33,NaN,NaN,1,10093,46.314476,11.048029
34,NaN,NaN,1,2856,46.314476,11.048029
35, Brasil,Paraíba,1,31967,-7.121937,-36.724686
36, España,Cádiz,1,0,36.529743,-6.2928977
37,NaN,NaN,1,0,46.314476,11.048029
38, Spain,Barcelona,1,1844,41.382893,2.1774323
39,NaN,NaN,1,0,46.314476,11.048029
40, Indonesia,Jakarta,1,1906,-6.175394,106.82719
41,NaN,NaN,1,633,46.314476,11.048029
42,NaN,NaN,1,400,46.314476,11.048029
43,NaN,NaN,1,0,46.314476,11.048029
44,NaN,NaN,1,0,46.314476,11.048029
45, France,Paris,1,204,48.856697,2.3514616
46, Pais Nissart,Nissa,1,308,43.700935,7.268391
47, la Mayenne,Laval,1,84,48.071037,-0.7723499
49,user_loc,NaN,1,0,46.314476,11.048029
50,NaN,NaN,1,15,46.314476,11.048029
51,user_loc,NaN,1,4,46.314476,11.048029
52,user_loc,NaN,1,1,46.314476,11.048029
53,NaN,NaN,1,3,46.314476,11.048029
54,NaN,NaN,1,0,46.314476,11.048029
55, France,Paris,1,204,48.856697,2.3514616
56, Pais Nissart,Nissa,1,308,43.700935,7.268391
57, la Mayenne,Laval,1,84,48.071037,-0.7723499
59,user_loc,NaN,1,0,46.314476,11.048029
60, Indonesia,Jakarta,1,1906,-6.175394,106.82719
61,NaN,NaN,1,633,46.314476,11.048029
62,NaN,NaN,1,400,46.314476,11.048029
63,NaN,NaN,1,0,46.314476,11.048029
64,NaN,NaN,1,0,46.314476,11.048029
66,NaN,NaN,1,0,46.314476,11.048029
67,NaN,NaN,1,0,46.314476,11.048029
68,NaN,NaN,1,10,46.314476,11.048029
69,NaN,NaN,1,0,46.314476,11.048029
70,NaN,NaN,1,0,46.314476,11.048029
71,NaN,NaN,1,0,46.314476,11.048029
72,NaN,NaN,1,0,46.314476,11.048029
73,NaN,NaN,1,1,46.314476,11.048029
74,NaN,NaN,1,1,46.314476,11.048029
75,NaN,NaN,1,2,46.314476,11.048029
76, Lithuania,Vilnius,1,1,54.687046,25.282911
77,NaN,NaN,1,0,46.314476,11.048029
78, Lithuania,Vilnius,1,1,54.687046,25.282911
79,NaN,NaN,1,0,46.314476,11.048029
